HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457420.86048,2016-02-02.3572723,ba,1.62,16.782,14.830,0.036,4.489,0.149,V
2457422.62444,2016-02-04.1213465,be,1.40,16.592,14.980,0.050,3.908,0.177,V
2457422.62574,2016-02-04.1226461,be,1.45,16.627,15.063,0.052,3.622,0.172,V
2457422.62703,2016-02-04.1239358,be,1.44,16.601,15.037,0.052,3.709,0.176,V
2457423.65727,2016-02-05.1542423,be,1.45,16.228,15.099,0.077,3.501,0.248,V
2457423.65821,2016-02-05.1551871,be,1.41,16.312,15.020,0.067,3.764,0.229,V
2457423.65915,2016-02-05.1561236,be,1.48,16.339,15.024,0.065,3.753,0.224,V
2457424.85787,2016-02-06.3549311,ba,1.63,16.794,15.175,0.049,3.265,0.147,V
2457426.67030,2016-02-08.1674918,be,1.45,16.488,14.999,0.055,3.842,0.195,V
2457426.67161,2016-02-08.1687987,be,1.44,16.552,14.966,0.051,3.958,0.184,V
2457426.67289,2016-02-08.1700754,be,1.43,16.561,14.983,0.051,3.896,0.182,V
2457428.67692,2016-02-10.1742512,be,1.40,16.627,15.052,0.051,3.657,0.172,V
2457428.67821,2016-02-10.1755405,be,1.39,16.560,15.076,0.056,3.574,0.183,V
2457428.67949,2016-02-10.1768281,be,1.37,16.624,15.059,0.052,3.636,0.172,V
2457429.65371,2016-02-11.1511138,be,1.52,16.563,15.101,0.057,3.496,0.182,V
2457429.65500,2016-02-11.1524,be,1.49,16.617,15.117,0.055,3.445,0.173,V
2457429.65628,2016-02-11.1536902,be,1.51,16.494,15.166,0.064,3.292,0.194,V
2457431.65896,2016-02-13.1565186,be,1.52,16.549,15.213,0.064,3.153,0.184,V
2457431.66026,2016-02-13.1578180,be,1.52,16.515,15.014,0.055,3.788,0.190,V
2457431.66154,2016-02-13.1590937,be,1.51,16.583,15.201,0.061,3.188,0.179,V
2457433.65149,2016-02-15.1491987,be,1.60,16.479,14.855,0.049,4.385,0.197,V
2457433.65277,2016-02-15.1504783,be,1.61,16.415,15.082,0.064,3.557,0.208,V
2457433.65406,2016-02-15.1517596,be,1.58,16.443,14.967,0.056,3.956,0.203,V
2457437.64925,2016-02-19.1472652,be,1.46,16.094,14.972,0.078,3.939,0.280,V
2457437.65054,2016-02-19.1485577,be,1.48,16.018,15.009,0.086,3.806,0.301,V
2457437.65183,2016-02-19.1498462,be,1.49,15.982,15.038,0.092,3.702,0.311,V
